שנה,קוד רמה 1,שם רמה 1,קוד רמה 2,שם רמה 2,קוד סוג סעיף,שם סוג סעיף,קוד סעיף,שם סעיף,קוד תחום,שם תחום,קוד תכנית,שם תכנית,קוד תקנה,שם תקנה,קוד מיון רמה 1,שם מיון רמה 1,קוד מיון רמה 2,שם מיון רמה 2,הוצאה/הכנסה,פשח,הוצאה נטו,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500104,כוננויות,1,שכר,30,שכר בארץ,הוצאה,0,2085,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500105,החזר הוצאות רכב,1,שכר,30,שכר בארץ,הוצאה,0,9575,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500106,שעות נוספות,1,שכר,30,שכר בארץ,הוצאה,0,4833,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500107,הוצאות פרישה,1,שכר,30,שכר בארץ,הוצאה,0,820,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500108,"הפחתות - שכר מושאלים מגופי הבט""פ",19,העברות  פנים תקציביות,301,הפחתות,הוצאה,0,9100,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500109,סטודנטים,1,שכר,30,שכר בארץ,הוצאה,0,2343,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500110,נופש והוצאות שכר אחרות,2,קניות,33,קניות בארץ,הוצאה,0,0,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500113,שירות אזרחי ביטחוני ושירות לאומי,2,קניות,33,קניות בארץ,הוצאה,0,2345,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500114,מתמחי ייעוץ משפטי,1,שכר,30,שכר בארץ,הוצאה,0,194,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500116,שכר עידוד,1,שכר,30,שכר בארץ,הוצאה,0,2129,,,,,,,,,,,,,,,,,
